Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  22.88,  0.064, 1.764, 24.28, 0.037329, 0.001390, 0.036635, 0.000312, 0.036667, 0.000084, 0.036562, -0.000096, 0.036454, -0.000250, 0.036262, -0.000373, 0.036013, -0.000402, 0.035773, -0.000289, 0.035551, -0.000046, 0.035443, 0.000372, 0.035637, 0.001145, 
0, 0,  98.0,  22.78,  0.064, 1.763, 24.25, 0.037328, 0.001393, 0.036638, 0.000312, 0.036668, 0.000084, 0.036565, -0.000097, 0.036458, -0.000252, 0.036267, -0.000374, 0.036019, -0.000403, 0.035768, -0.000282, 0.035547, -0.000058, 0.035467, 0.000360, 0.035665, 0.001148, 
0, 0,  98.0,  22.88,  0.064, 1.763, 24.27, 0.037331, 0.001386, 0.036635, 0.000313, 0.036669, 0.000084, 0.036567, -0.000095, 0.036460, -0.000252, 0.036262, -0.000374, 0.036018, -0.000405, 0.035772, -0.000292, 0.035571, -0.000063, 0.035472, 0.000373, 0.035651, 0.001123, 
0, 0,  98.0,  22.78,  0.064, 1.763, 24.26, 0.037331, 0.001389, 0.036637, 0.000312, 0.036670, 0.000085, 0.036565, -0.000095, 0.036459, -0.000251, 0.036264, -0.000378, 0.036017, -0.000398, 0.035770, -0.000290, 0.035560, -0.000051, 0.035439, 0.000373, 0.035643, 0.001134, 
0, 0,  98.0,  22.85,  0.064, 1.764, 24.24, 0.037330, 0.001391, 0.036639, 0.000312, 0.036669, 0.000084, 0.036566, -0.000096, 0.036460, -0.000250, 0.036268, -0.000376, 0.036018, -0.000395, 0.035771, -0.000291, 0.035551, -0.000051, 0.035457, 0.000360, 0.035670, 0.001068, 
0, 0,  98.0,  22.88,  0.064, 1.762, 24.25, 0.037334, 0.001384, 0.036638, 0.000312, 0.036671, 0.000083, 0.036570, -0.000095, 0.036461, -0.000253, 0.036262, -0.000375, 0.036015, -0.000405, 0.035776, -0.000298, 0.035571, -0.000065, 0.035467, 0.000356, 0.035637, 0.001141, 
0, 0,  98.0,  22.88,  0.064, 1.762, 24.24, 0.037333, 0.001386, 0.036638, 0.000313, 0.036671, 0.000084, 0.036568, -0.000096, 0.036462, -0.000252, 0.036266, -0.000373, 0.036017, -0.000405, 0.035773, -0.000294, 0.035569, -0.000049, 0.035446, 0.000381, 0.035665, 0.001147, 
0, 0,  98.0,  22.88,  0.064, 1.764, 24.23, 0.037332, 0.001390, 0.036639, 0.000312, 0.036670, 0.000084, 0.036567, -0.000097, 0.036458, -0.000251, 0.036265, -0.000376, 0.036015, -0.000404, 0.035775, -0.000293, 0.035551, -0.000055, 0.035452, 0.000337, 0.035656, 0.001121, 
0, 0,  98.0,  22.77,  0.064, 1.762, 24.28, 0.037335, 0.001383, 0.036639, 0.000313, 0.036673, 0.000083, 0.036571, -0.000095, 0.036462, -0.000253, 0.036265, -0.000375, 0.036017, -0.000406, 0.035773, -0.000297, 0.035578, -0.000062, 0.035468, 0.000334, 0.035642, 0.001144, 
0, 0,  98.0,  22.87,  0.064, 1.762, 24.28, 0.037335, 0.001385, 0.036641, 0.000313, 0.036673, 0.000083, 0.036571, -0.000096, 0.036464, -0.000252, 0.036266, -0.000374, 0.036019, -0.000409, 0.035775, -0.000303, 0.035577, -0.000066, 0.035454, 0.000349, 0.035665, 0.001062, 
0, 0,  98.0,  22.82,  0.064, 1.763, 24.27, 0.037336, 0.001388, 0.036642, 0.000313, 0.036673, 0.000083, 0.036570, -0.000096, 0.036462, -0.000253, 0.036267, -0.000376, 0.036018, -0.000405, 0.035777, -0.000305, 0.035574, -0.000061, 0.035478, 0.000374, 0.035645, 0.001133, 
0, 0,  98.0,  22.87,  0.064, 1.764, 24.28, 0.037335, 0.001390, 0.036642, 0.000312, 0.036673, 0.000083, 0.036570, -0.000097, 0.036462, -0.000250, 0.036270, -0.000377, 0.036019, -0.000396, 0.035773, -0.000297, 0.035565, -0.000044, 0.035455, 0.000379, 0.035665, 0.001081, 
0, 0,  98.0,  22.87,  0.064, 1.762, 24.28, 0.037333, 0.001394, 0.036644, 0.000311, 0.036675, 0.000083, 0.036572, -0.000096, 0.036465, -0.000252, 0.036267, -0.000374, 0.036023, -0.000404, 0.035778, -0.000287, 0.035560, -0.000048, 0.035453, 0.000361, 0.035663, 0.001109, 
0, 0,  98.0,  22.78,  0.064, 1.762, 24.26, 0.037334, 0.001396, 0.036647, 0.000312, 0.036677, 0.000084, 0.036575, -0.000096, 0.036466, -0.000252, 0.036273, -0.000375, 0.036027, -0.000403, 0.035772, -0.000283, 0.035549, -0.000061, 0.035478, 0.000353, 0.035671, 0.001147, 
